name,degree,reviewCount,address,tel
온정돈까스 본점,,(30),서울 관악구 조원로 60 1층,02-3281-3330
카츠오도,4.4,190건,서울 관악구 조원로16가길 51 1층,0507-1326-4286
봉이돈까스,4.4,196건,서울 관악구 남부순환로 1754 1층,02-877-7009
왕돈까스왕냉면 서울대역점,3.2,56건,서울 관악구 봉천로 474 1층,02-882-5759
낙성대돈까스,4.1,53건,서울 관악구 인헌길 15 1층,02-871-0790
삼백돈돈가츠 본점,,(30),서울 관악구 남부순환로230길 48 1층,02-872-6443
상상카츠 신대방점,4.7,15건,서울 관악구 관천로 129 메리트홈 1층,02-857-7721
장우동 서울대점,3.0,28건,서울 관악구 호암로24길 57 1층,02-878-5583
수제킹 30Cm돈까스 신림1호점,3.5,34건,서울 관악구 신림동5가길 23 1층,02-883-2642
허수아비 대학동점,4.2,66건,서울 관악구 호암로26길 72 1층,02-887-1187
채우동,4.5,49건,서울 관악구 남부순환로226길 23-7 리치하임 1층,070-7585-0506
야간얼큰우동 서울대입구역점,3.2,25건,서울 관악구 남부순환로226길 13 1층,02-883-9394
길동우동 신림점,2.1,71건,서울 관악구 신림로 358 1층,02-871-6462
시올돈,4.4,18건,서울 관악구 솔밭로 4 1층 우측 시올돈,070-8873-3333
빼누카츠,4.9,69건,서울 관악구 청룡길 20 1층 101호,02-6449-0974
가츠가게,4.3,107건,서울 관악구 낙성대로4가길 12 1층,02-6953-7007
손가네수제돈가스,4.5,15건,서울 관악구 신사로10길 20 1층,070-4797-8894
카츠오도 낙성대점,4.6,65건,서울 관악구 인헌3길 5 1층 104호,010-2294-6281
올래돈까스,4.3,14건,서울 관악구 남부순환로 1591-7 1층,02-878-4149
연돈볼카츠 당곡역점,2.4,35건,서울 관악구 보라매로 7 1층,0507-1434-0729
왕돈가스왕냉면,3.4,16건,서울 관악구 관천로 31 1층,02-868-8802
대가왕돈카츠,4.2,58건,서울 관악구 호암로22길 69,02-888-1201
장돈까스 본점,3.7,15건,서울 관악구 봉천로 584 1층,02-886-9297
하쿠비카츠,,(30),서울 관악구 신원로 8 1층,070-8777-8752
포크&누들,4.8,30건,서울 관악구 대학7길 17 1층,02-872-5703
한신우동 서울대역점,3.6,5건,서울 관악구 관악로14길 22,
성수가수제생등심돈가스,4.9,57건,서울 관악구 신림로14길 25 1층,010-4574-9198
엠브로돈까스 봉천점,4.3,26건,서울 관악구 쑥고개로 86 1층,070-8848-0400
봉봉돈까스,4.7,14건,서울 관악구 대학14길 22,
미소야 봉천점,4.4,13건,서울 관악구 양녕로 46 메카플러스 1층 110호,02-882-3636
카츠97,4.5,32건,서울 관악구 봉천로7길 3 현교오피스텔 1층 101호,010-4183-5461
명인카츠,5.0,12건,서울 관악구 장군봉2길 16 1층,02-6101-9072
왕돈까스&왕냉면 봉천점,4.2,20건,서울 관악구 남부순환로 1750 1층,02-882-5779
금제,,(30),서울 관악구 조원로 101 1층,02-866-7199
왕돈까스&왕냉면 난곡점,3.9,11건,서울 관악구 난곡로 184 1층,
땡초우동 신림점,3.4,9건,서울 관악구 신림로65길 32,02-871-3356
긴자료코 신림점,3.4,30건,서울 관악구 남부순환로 1630,02-875-6217
정다함돈가스 신림점,5.0,2건,서울 관악구 남부순환로155길 31 1층,
셰프혁,4.7,3건,서울 관악구 미성3길 12 1층,02-838-5056
이응가츠,3.4,65건,서울 관악구 관악로14길 28 1층,02-3285-5674
카츠민,4.5,10건,서울 관악구 신림동길 23-1 1층,02-876-7989
백년카츠 관악점,3.7,3건,"서울 관악구 봉천로 391 두산1,2단지 상가동 1층",02-889-9923
피그카츠,4.7,18건,서울 관악구 시흥대로160길 27 1층,
길동우동 서울대입구역점,1.7,23건,서울 관악구 남부순환로 1796 1층,02-882-1796
셰프의돈까스 관악점,4.0,16건,서울 관악구 남부순환로 1679,02-877-6975
왕돈까스&왕냉면,2.4,10건,서울 관악구 남부순환로 1377,02-862-6238
만평우동 봉천점,4.4,7건,서울 관악구 양녕로 19 1층 1호,070-4710-8419
카츠쇼신 샤로수길점,3.9,15건,서울 관악구 남부순환로224길 25 1층,
수수하지만굉장해 봉천역점,4.7,19건,서울 관악구 봉천로 372 1층,
저온숙성카츠 구름카츠 신림직영점,2.6,5건,서울 동작구 보라매로3길 29 해태보라매타워 지하1층 78호,
돈까스회관 난곡점,4.2,6건,서울 관악구 난곡로 220 1층,02-830-5315
장돈까스 2호점,3.3,7건,서울 관악구 관악로 210-12,
카츠원 본점,4.7,6건,서울 관악구 신원로1길 2,010-4698-0522
석양식당,4.6,43건,서울 관악구 청룡1길 19 1층,070-8800-4000
정담돈가스,4.0,6건,서울 관악구 조원중앙로 15,02-866-8052
오유미당 서울신림점,3.7,7건,서울 관악구 신원로 16 영신상가 1층,02-867-2295
다케돈까스,4.0,61건,서울 관악구 대학길 71 1층,
역전우동0410 신림난곡점,2.9,7건,서울 관악구 난우길 4 1층,02-838-6863
쿠모,2.5,11건,"서울 관악구 난곡로 81 2,3층",
오사카우동 본점,3.0,12건,서울 관악구 남부순환로 1782 1층,02-833-9588
우리동네돈가스&탕수육,3.8,12건,서울 관악구 남부순환로248길 76 1층,
두자리키친,5.0,1건,서울 관악구 관악로5길 30 지하1층,02-875-2289
돈카츠마켙 봉천점,4.9,8건,서울 관악구 행운1길 8 1층,02-877-5354
돈까스 튀기는 형 관악점,3.0,2건,서울 관악구 미성길 15 1층 118호,
허수아비돈까스,1.7,19건,서울 동작구 보라매로3길 29 2층,02-846-6393
해자돈까스,4.3,3건,서울 관악구 봉천로 563,
오사카우동 신림점,3.5,4건,서울 관악구 남부순환로200길 9 1층,02-833-9588
난바우동 사당점,3.7,3건,서울 관악구 남부순환로248길 76,02-885-1409
갓츠카츠&파스타,2.5,2건,서울 관악구 신림로64길 70 1층,
예가돈까스,4.6,24건,서울 관악구 보라매로 4,02-883-4455
진심우동,1.8,5건,서울 관악구 남부순환로 1619 1층,
카츠백 봉천점,5.0,4건,서울 관악구 중앙길 24 1층,
맹호수제돈까스 신림점,1.0,2건,서울 관악구 봉천로 373-16 두산아트빌 1층 101호,
시올돈 봉천점,,(30),서울 관악구 은천로 45-1 1층 102호,0502-5550-7751
